market,long profit,short profit,long wins,short wins,long losses,short losses,long uptrend size,long downtrend size,short uptrend size,short downtrend size,risk ratio tp,risk ratio sl,timeframe,long winrate,short winrate,method,date start,date end
BTCUSDT,0,2.0550703942047273,0,0,0,1,0,0,0,0,5.5,2.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.5,2.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-2.4713389024581973,0,7,0,9,0,0,0,0,5.5,3.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-11.428265422019535,0,2,0,1,0,0,0,0,5.5,3.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.4559496349243912,0,0,0,1,0,0,0,0,5.5,3.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.5,3.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.2153663469895808,0,3,0,13,0,0,0,0,6.0,1.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-11.238004949897872,0,1,0,3,0,0,0,0,6.0,1.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0.8323323844372843,0,0,0,1,0,0,0,0,6.0,1.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,6.0,1.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-0.05032092841153124,0,4,0,12,0,0,0,0,6.0,1.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-10.013227236060047,0,1,0,3,0,0,0,0,6.0,1.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.2433035875014804,0,0,0,1,0,0,0,0,6.0,1.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,6.0,1.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.5544191011270594,0,4,0,12,0,0,0,0,6.0,2.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-14.323307198981093,0,2,0,1,0,0,0,0,6.0,2.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.6508688690535471,0,0,0,1,0,0,0,0,6.0,2.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,6.0,2.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.924571268909983,0,5,0,11,0,0,0,0,6.0,2.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-13.593523968690336,0,2,0,1,0,0,0,0,6.0,2.5,1h,0,0,1,5 May 2013,17 June 2021
